Reseller_Name,Reseller_Type_Id,Reseller_Id,Parent_Reseller_Id,Reseller_MSISDN,Email,Warehouse_Type,Juridicial_Name,Distributor_Code,Sub_Distributor_Code,Dealer_Registration_Date,Dealer_Name,Address,Street,City,Country,Region,Sales_Area,Latitude,Longitude,Role,Designation,User_Privilege,User_Subtype,Key_Contact_Person,Key_Contact_Mobile_Number,Key_Contact_Email_Address,Alternate_Contact_Person,Alternate_Contact_Mobile_Number,Alternate_Contact_Email_Address,Contract_Id,Enable_OTP,Enable_Password,Password,SCC_Status
DIST22,Distributor,DIST22,Active,Operator,467100012022,,,Distributor22,,,,,"34F, Brething Ale","221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,,,,,,,Warehouse,DIST11,467000000011,DIST11@seamless.se,DIST12,467000000012,DIST12@seamless.se,3,false,true,1234,Active
SubDistributor22-1,SubDistributor,SUB-DIST22-1,Active,DIST22,467100012122,,,SubDistributor22-1,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,-1.054352241,36.87067667,,,,Dealer,,,,,,,6,false,true,1234,Active
Agent22-1-1,Agent,AGENT22-1-1,Active,SUB-DIST22-1,467100012222,,,Agent22-1-1,DIST22,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,,,,,,Agent,,,,,,,7,false,true,1234,Active
POS22-1-1-1,POS,POS22-1-1-1,Active,AGENT22-1-1,467100012322,,,POS22-1-1-1,,SUB-DIST22-1,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,-1.054352241,36.87067667,,,,Dealer,,,,,,,8,false,true,1234,Active
WareHouse22,Warehouse,WH22,Active,Operator,467100012422,,MSD,WareHouse22,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,-1.054352241,36.87067667,,,,Dealer,,,,,,,2,false,true,1234,
FranchiseShop22,FranchiseShop,FS22,Blocked,Operator,467100012522,,,FranchiseShop22,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,-1.054352241,36.87067667,,,,Warehouse,,,,,,,4,false,true,1234,Active
Bank22,Bank,BANK22,Frozen,Operator,467100012622,,,Bank22,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,,,,,BankPOS1,Retailer2,,,,,,,,,5,,,,
OperatorAgent22,OperatorAgent,OperatorAgent22,Active,Operator,467100012722,,,OperatorAgent22,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,,,,,,Agent,,,,,,,13,false,true,1234,
ASM22,ASM,ASM22,Active,Operator,467100012822,,,ASM22,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,,,,ASM,MOBILE,Dealer,,,,,,,10,false,true,1234,
AdhocUser22,AdhocUser,AdhocUser22,Active,Operator,467100012822,,,AdhocUser22,,,,,,,,,,,,,,,,,,,,,,,12,,true,,
SubDistributor23-1,SubDistributor,SUB-DIST23-1,Active,DIST23,467100012123,,,SubDistributor23-1,,,,,34F Brething Ale,"221,Stockholm Street,1001,",Stockholm,Sweden,Stockholm County,Stockholm Municipality,-1.054352241,36.87067667,,,,Dealer,,,,,,,6,false,true,1234,Active
